start_station_name,lat,lng,member_casual,count,cum_percent
Streeter Dr & Grand Ave,41.89227209064213,-87.61207218553349,casual,54537,3.1311989408225966
DuSable Lake Shore Dr & Monroe St,41.88098460745321,-87.61675514621518,casual,29975,4.85218997903807
Millennium Park,41.88107421712155,-87.62408730229619,casual,23735,6.214916327396512
Michigan Ave & Oak St,41.900969661349755,-87.6237626521478,casual,23545,7.566733975262512
DuSable Lake Shore Dr & North Blvd,41.91169919301371,-87.62683553489774,casual,21953,8.827148195844474
Shedd Aquarium,41.867238998719095,-87.61536763943383,casual,19252,9.93248662679441
Theater on the Lake,41.92626556367006,-87.63088515510833,casual,17215,10.920872305622746
Wells St & Concord Ln,41.912093964613135,-87.63472775665716,casual,14721,11.766066936934507
Dusable Harbor,41.88697298913122,-87.61282817610875,casual,13168,12.522097295273834
Clark St & Armitage Ave,41.91830869035416,-87.63630598658463,casual,12678,13.249994689185288
Indiana Ave & Roosevelt Rd,41.86790530965204,-87.6230403679217,casual,12645,13.97599741406384
Clark St & Lincoln Ave,41.91570770511902,-87.63460874804487,casual,12393,14.68753175723663
Clark St & Elm St,41.90292046551777,-87.63144041968093,casual,11878,15.369497780653592
Montrose Harbor,41.96397297314767,-87.63818614128584,casual,11580,16.034354368561353
Wells St & Elm St,41.90317665253666,-87.63443906950918,casual,11389,16.68824484176356
Adler Planetarium,41.86611568011135,-87.6072924629272,casual,10867,17.312165095718104
Clark St & Newport St,41.944525171164095,-87.65471286222201,casual,10738,17.928678916180417
Wabash Ave & Grand Ave,41.89144004245866,-87.62674642520038,casual,10705,18.54329806760983
Michigan Ave & 8th St,41.87270730828545,-87.62398994264319,casual,10650,19.154759437317743
Broadway & Barry Ave,41.93761747505163,-87.64410092142019,casual,10555,19.76076645677944
Michigan Ave & Washington St,41.88396384647304,-87.62456418224338,casual,10346,20.354773905699453
Wilton Ave & Belmont Ave,41.940174092972214,-87.65300036380587,casual,10292,20.945680987111086
LaSalle St & Illinois St,41.89078373164389,-87.63168263362385,casual,9879,21.512875998504935
New St & Illinois St,41.89079293086965,-87.6185164245074,casual,9866,22.07932462512825
DuSable Lake Shore Dr & Diversey Pkwy,41.932584812547006,-87.6364327286304,casual,9521,22.625965348225815
Clark St & Wrightwood Ave,41.929561152383464,-87.64314560749736,casual,9482,23.170366917011773
Larrabee St & Webster Ave,41.92182716564605,-87.6441096715145,casual,9442,23.71247191727301
DuSable Lake Shore Dr & Belmont Ave,41.94075284865533,-87.63918973064291,casual,9348,24.24917998150114
Lakeview Ave & Fullerton Pkwy,41.9258533090916,-87.63897245767696,casual,9225,24.778826097515743
Michigan Ave & Lake St,41.885987703971026,-87.62425068472066,casual,9111,25.301926993234886
McClurg Ct & Ohio St,41.89260285898955,-87.61729853037428,casual,8897,25.812741247346743
Sheffield Ave & Waveland Ave,41.94931514731853,-87.65448966819544,casual,8872,26.322120146130658
Wells St & Evergreen Ave,41.906711665694175,-87.63495323635145,casual,8809,26.827881949488123
Wells St & Huron St,41.89474699573053,-87.63439016857532,casual,8795,27.33283995386194
Dearborn St & Erie St,41.894036954846186,-87.62931902347704,casual,8582,27.825568730841592
Halsted St & Roscoe St,41.943656108532316,-87.6489514456275,casual,8510,28.314163684476746
DuSable Lake Shore Dr & Wellington Ave,41.93668073915888,-87.63683658537983,casual,8346,28.79334270716053
Clark St & Drummond Pl,41.93125046847871,-87.64430642919204,casual,8243,29.266608065893145
Damen Ave & Pierce Ave,41.90939735635422,-87.67769763067649,casual,8204,29.737634270314157
Kingsbury St & Kinzie St,41.88916355847975,-87.63851893151153,casual,8025,30.19838333058702
Ashland Ave & Division St,41.90340617106157,-87.66782405117023,casual,8007,30.65809893502376
Sheffield Ave & Fullerton Ave,41.92559726688595,-87.65370855220037,casual,7935,31.113680716116
Wells St & Hubbard St,41.88995045780414,-87.63428005332408,casual,7924,31.568630940863933
Lincoln Ave & Fullerton Ave,41.92416483884708,-87.64637918254782,casual,7893,32.021801325005214
Wabash Ave & Roosevelt Rd,41.86721305383325,-87.62599854797998,casual,7688,32.46320179545727
St. Clair St & Erie St,41.894318627670486,-87.62278999274467,casual,7684,32.904372609056864
Halsted St & Wrightwood Ave,41.92913915284594,-87.64910943650595,casual,7653,33.34376358204979
Southport Ave & Roscoe St,41.943707032928394,-87.66400962655845,casual,7639,33.78235075605907
Michigan Ave & Jackson Blvd,41.87784489684591,-87.62408788547351,casual,7476,34.21157941333009
Fairbanks Ct & Grand Ave,41.89189914604702,-87.62063786993613,casual,7359,34.63409060766629
Broadway & Cornelia Ave,41.94551915832336,-87.64647875746053,casual,7348,35.055970245658195
Sheffield Ave & Wrightwood Ave,41.92869988630384,-87.65382314204211,casual,7267,35.47319933238753
Green St & Madison St,41.88187634308891,-87.64881826346875,casual,7187,35.88583528206742
Southport Ave & Waveland Ave,41.94812526908926,-87.6639812277455,casual,7159,36.29686363378
Broadway & Waveland Ave,41.949064170053106,-87.64862067380939,casual,7156,36.70771974285322
Clark St & Schiller St,41.90800275460606,-87.63153011671037,casual,7095,37.11507358492624
State St & Randolph St,41.884610363610484,-87.62788464127904,casual,7060,37.52041792954013
Dearborn Pkwy & Delaware Pl,41.89895211416857,-87.62990242185857,casual,7000,37.92231742136693
Lincoln Park Conservatory,41.92396741048561,-87.63584098348211,casual,6878,38.317212379193315
Field Museum,41.865325960069285,-87.61793672146227,casual,6784,38.7067104009866
Pine Grove Ave & Waveland Ave,41.9494194449661,-87.64645796231427,casual,6784,39.096208422779895
Halsted St & Clybourn Ave,41.90964579878448,-87.64812484335152,casual,6779,39.48541937350759
Clinton St & Madison St,41.88224582348061,-87.64112602630748,casual,6654,39.867453547595524
Sheffield Ave & Wellington Ave,41.93627787844338,-87.65265623723266,casual,6649,40.24920065061786
Rush St & Cedar St,41.902355301103334,-87.62777377743723,casual,6571,40.626469445016994
Columbus Dr & Randolph St,41.884658794855405,-87.61953234731811,casual,6570,41.003680825203006
Clark St & Wellington Ave,41.9365011038692,-87.64756130187958,casual,6544,41.379399435847944
State St & Chicago Ave,41.89664675288882,-87.62861337942255,casual,6494,41.75224733583698
Sheffield Ave & Webster Ave,41.92161818650301,-87.6538117324888,casual,6477,42.124119194203004
Wabash Ave & Wacker Pl,41.88686320769375,-87.62608054037813,casual,6400,42.49157015815893
Broadway & Belmont Ave,41.94009426500322,-87.64547688138308,casual,6218,42.84857173532737
Wilton Ave & Diversey Pkwy,41.932414791415916,-87.65270285620007,casual,6208,43.20499917036462
Halsted St & Dickens Ave,41.91989544208313,-87.64885015740094,casual,6183,43.55999125007392
Sedgwick St & North Ave,41.91137434159526,-87.63869028936871,casual,6162,43.913777631307745
Racine Ave & Belmont Ave,41.93971505890933,-87.6588663428211,casual,6143,44.266473142492316
Federal St & Polk St,41.87209253024534,-87.62956936075891,casual,6114,44.61750364149646
Sheridan Rd & Irving Park Rd,41.95423285438401,-87.65442004709207,casual,6104,44.96795999836944
Stockton Dr & Wrightwood Ave,41.9313202562659,-87.63873218416845,casual,6055,45.31560305879962
Mies van der Rohe Way & Chestnut St,41.89857796064591,-87.62211609526334,casual,6038,45.66227007760679
Desplaines St & Kinzie St,41.88861147819048,-87.64448266001021,casual,5880,45.999865650741306
Canal St & Adams St,41.87933943853482,-87.63997096405846,casual,5815,46.33372930002314
Franklin St & Jackson Blvd,41.877747262888775,-87.63528527533472,casual,5781,46.66564086605896
Wabash Ave & 9th St,41.870736792780185,-87.6257408376979,casual,5773,46.997093118389834
Lakefront Trail & Bryn Mawr Ave,41.98403453435532,-87.65229920939274,casual,5747,47.32705260117963
Clark St & North Ave,41.911966941066574,-87.63198448554199,casual,5738,47.65649535605137
Buckingham Fountain,41.87646964474475,-87.62040717405594,casual,5720,47.984904655086986
Clark St & Grace St,41.95081829330811,-87.65918046224881,casual,5683,48.31118962823723
Kedzie Ave & Milwaukee Ave,41.929565483614326,-87.70790312963464,casual,5611,48.633340778042964
Cityfront Plaza Dr & Pioneer Ct,41.89053415309498,-87.62206272649746,casual,5496,48.94888929334012
Field Blvd & South Water St,41.886234923842764,-87.61750810100845,casual,5444,49.261452269555136
Milwaukee Ave & Grand Ave,41.89159185108976,-87.64832887041798,casual,5359,49.56913503765511
State St & Kinzie St,41.889149514132804,-87.6272373702389,casual,5316,49.874348994591
Clinton St & Washington Blvd,41.88336380628712,-87.6412423545489,casual,5287,50.17789793934647
Clark St & Lake St,41.88595862840319,-87.63092613917125,casual,5273,50.480643085118295
Rush St & Superior St,41.895755955221205,-87.62602153574562,casual,5244,50.781723218709686
Sedgwick St & Webster Ave,41.92217287435854,-87.63891750545055,casual,5238,51.08245886702236
Mies van der Rohe Way & Chicago Ave,41.89702285384586,-87.62173133683878,casual,5229,51.38267778741699
California Ave & Milwaukee Ave,41.92269258479404,-87.6971526509031,casual,5171,51.67956668345075
Clark St & Winnemac Ave,41.97334623613266,-87.66783635912724,casual,5156,51.975594366287744
Michigan Ave & Pearson St,41.897501477862136,-87.62352392288155,casual,5150,52.27127756384604
McClurg Ct & Erie St,41.894518180691534,-87.61803120093822,casual,5148,52.56684593297809
Damen Ave & Cortland St,41.915980520657016,-87.67732555045757,casual,5114,52.86046221886412
Broadway & Sheridan Rd,41.95282094807368,-87.65000321921418,casual,5103,53.15344694840587
Dearborn St & Monroe St,41.881112699553675,-87.62964812306528,casual,5086,53.44545563632459
Pine Grove Ave & Irving Park Rd,41.95437683464961,-87.64805719632086,casual,5080,53.73711983896462
Wood St & Milwaukee Ave,41.907657100051274,-87.67255095082429,casual,5071,54.02826731368657
Southport Ave & Wrightwood Ave,41.92878308552422,-87.66389825065727,casual,5036,54.317405290949395
Lincoln Ave & Diversey Pkwy,41.93220687317432,-87.65865492778374,casual,5031,54.60625619714663
Franklin St & Chicago Ave,41.89677433081575,-87.63571831959815,casual,4977,54.89200673583549
Michigan Ave & Madison St,41.882081590530255,-87.62513753050192,casual,4941,55.17569036285208
Kingsbury St & Erie St,41.893828268362526,-87.64176280253564,casual,4910,55.45759414926202
Franklin St & Illinois St,41.890991537052095,-87.63546655489887,casual,4895,55.7386367224752
Orleans St & Merchandise Mart Plaza,41.88809914916616,-87.63666632829757,casual,4893,56.01956446726213
University Ave & 57th St,41.79147932551625,-87.59988052714783,casual,4891,56.30037738362282
Wentworth Ave & Cermak Rd,41.85312585665616,-87.63192774820835,casual,4761,56.57372645227817
LaSalle Dr & Huron St,41.894815549787545,-87.63230821647666,casual,4754,56.84667362144168
Burling St & Diversey Pkwy,41.93312117808225,-87.64775543126359,casual,4693,57.116118523604996
Ritchie Ct & Banks St,41.90684568768261,-87.6262149349167,casual,4682,57.38493186942401
Sheridan Rd & Montrose Ave,41.96162689035035,-87.6546421782867,casual,4681,57.653687801029896
Clinton St & Lake St,41.88551094009446,-87.64186699519321,casual,4658,57.92112320573407
Daley Center Plaza,41.88420237758015,-87.62961289878568,casual,4554,58.18258753227396
Greenview Ave & Fullerton Ave,41.9253692780182,-87.6658161203573,casual,4506,58.441295976584186
Peoria St & Jackson Blvd,41.87765240620513,-87.6495404055563,casual,4485,58.698798722418935
Southport Ave & Belmont Ave,41.93944515709951,-87.66377470294066,casual,4482,58.95612922561432
Southport Ave & Wellington Ave,41.93568625433557,-87.66362038760627,casual,4470,59.21277075825229
Honore St & Division St,41.90312846672061,-87.67389342231513,casual,4449,59.468206592414774
Michigan Ave & Ida B Wells Dr,41.87622907410216,-87.62443555579883,casual,4444,59.72335535551168
Bissell St & Armitage Ave*,41.918365841831715,-87.65219216786376,casual,4433,59.97787256226428
Kimbark Ave & 53rd St,41.799567143142404,-87.59474331961661,casual,4382,60.229461644147854
Burnham Harbor,41.85734781638185,-87.61377409086366,casual,4342,60.47875415750671
Shore Dr & 55th St,41.795251680845816,-87.5807912811777,casual,4339,60.7278744282262
Milwaukee Ave & Wabansia Ave,41.9126144703641,-87.6814010732166,casual,4312,60.97544451519151
Clark St & Chicago Ave,41.89671294636174,-87.63087010462503,casual,4307,61.22272753109124
Stetson Ave & South Water St,41.88672189999535,-87.62223864385973,casual,4306,61.46995313277783
Clark St & Randolph St,41.8846027451139,-87.631751846755,casual,4302,61.71694907761196
Franklin St & Lake St,41.88583818901773,-87.63550881808446,casual,4286,61.963026395036195
Green St & Randolph St*,41.883593405278425,-87.64858364809078,casual,4274,62.20841474190302
Ravenswood Ave & Lawrence Ave,41.96910295810109,-87.67424412072272,casual,4234,62.45150652024512
Larrabee St & Kingsbury St,41.89769725289027,-87.64306607703801,casual,4183,62.69167017371819
Ellis Ave & 60th St,41.78510319804936,-87.60107355855739,casual,4173,62.93125968506007
Sheffield Ave & Kingsbury St,41.910560542056075,-87.65313900881456,casual,4066,63.16470587559833
Michigan Ave & 14th St,41.86413848587364,-87.62371728615746,casual,4052,63.39734826715293
Clinton St & Jackson Blvd,41.87833869349281,-87.64110086058503,casual,4034,63.6289572028714
Fort Dearborn Dr & 31st St,41.838557096823145,-87.60820334315946,casual,4026,63.86010682488493
McCormick Place,41.851416322211854,-87.61884343213619,casual,3965,64.08775417989825
Lakefront Trail & Wilson Ave,41.96578579198431,-87.64540539734244,casual,3951,64.31459773592792
Ogden Ave & Chicago Ave,41.896362874459186,-87.654070608125,casual,3920,64.53966145135092
Dayton St & North Ave,41.91059811569676,-87.64945476891843,casual,3911,64.76420843885587
Western Ave & Winnebago Ave,41.91554922286375,-87.68703389883548,casual,3890,64.98754972788534
Clark St & Berwyn Ave,41.97801666379579,-87.66833615941283,casual,3849,65.20853703417696
Clarendon Ave & Junior Ter,41.96100246525712,-87.64958204342992,casual,3831,65.42849088463245
Larrabee St & Division St,41.90350404042083,-87.64333837469752,casual,3802,65.64677972290752
Cannon Dr & Fullerton Ave,41.92673499652894,-87.6344389508421,casual,3800,65.86495373275636
Wabash Ave & Adams St,41.87949120206156,-87.62571581921199,casual,3769,66.08134790199853
Sedgwick St & Huron St,41.89468230824223,-87.63838226243837,casual,3732,66.29561774535533
Racine Ave & Fullerton Ave,41.92558634572237,-87.65845702307547,casual,3710,66.50862447602354
Southport Ave & Clybourn Ave,41.920765859835754,-87.66372447912948,casual,3653,66.71835859654401
Clarendon Ave & Gordon Ter,41.9578399481631,-87.64949476397584,casual,3642,66.92746116072018
Canal St & Madison St,41.88216435705964,-87.63982786120651,casual,3622,67.13541544063399
Damen Ave & Chicago Ave,41.89569403959956,-87.67715291930682,casual,3621,67.34331230633468
Desplaines St & Randolph St,41.88460013432597,-87.64453810096961,casual,3620,67.55115175782225
Rush St & Hubbard St,41.89017088762357,-87.62621470655684,casual,3581,67.75675205499823
State St & Harrison St,41.87403056744814,-87.62770177224212,casual,3519,67.95879267096086
Calumet Ave & 18th St,41.85766477596176,-87.61952688662956,casual,3504,68.15997207372673
Clifton Ave & Armitage Ave,41.91820621965133,-87.65697107604458,casual,3499,68.36086440542702
Sheffield Ave & Willow St,41.91371505189808,-87.65285048883482,casual,3493,68.5614122518486
Franklin St & Monroe St,41.88016036807294,-87.63532298168582,casual,3482,68.76132854192588
Aberdeen St & Randolph St,41.884138454376256,-87.65427523165081,casual,3471,68.96061327565884
Michigan Ave & 18th St,41.85783787803973,-87.62454606460999,casual,3423,69.15714212716215
Wells St & Polk St,41.8727250123616,-87.63363729012957,casual,3396,69.35212079491126
Wells St & Walton St,41.89994027307601,-87.63444045977901,casual,3394,69.54698463423415
Carpenter St & Huron St,41.894560797143704,-87.6534765174039,casual,3382,69.74115950299961
Halsted St & Willow St,41.913856431619784,-87.64877753700326,casual,3377,69.93504730069948
LaSalle St & Jackson Blvd,41.87813038198933,-87.63185902390454,casual,3373,70.12870544154688
Ellis Ave & 55th St,41.794298436226526,-87.60144098108196,casual,3355,70.32133012655815
Damen Ave & Division St,41.903262620227345,-87.67846297186658,casual,3343,70.51326584101201
Orleans St & Chestnut St (NEXT Apts),41.89815433511537,-87.63754167920287,casual,3337,70.70485707018716
Larrabee St & Armitage Ave,41.91809081734337,-87.64374838039926,casual,3256,70.89179774809973
Morgan St & Lake St,41.885809718832455,-87.65104143273149,casual,3229,71.07718824225813
State St & Van Buren St,41.877125817558174,-87.62786466977971,casual,3223,71.2622342511378
Broadway & Wilson - Truman College Vaccination Site,41.96520865980124,-87.6582304253851,casual,3220,71.44710801737814
Paulina Ave & North Ave,41.910099895967996,-87.67001405086602,casual,3187,71.63008711458556
Halsted St & Maxwell St,41.864867121512766,-87.64707834699968,casual,3173,71.81226241280933
Aberdeen St & Jackson Blvd,41.8777146953071,-87.65482940886436,casual,3126,71.99173924301657
900 W Harrison St,41.8747518861804,-87.64980741374471,casual,3071,72.16805829150229
Clark St & Leland Ave,41.96708723310311,-87.6673073334599,casual,3055,72.34345871257814
Canal St & Monroe St,41.88163651443021,-87.63950820315598,casual,3045,72.51828499152279
Eckhart Park,41.896388013898246,-87.6610031716485,casual,3027,72.69207781463133
Marine Dr & Ainslie St,41.971603450710276,-87.65017786491576,casual,3027,72.86587063773986
Ashland Ave & Blackhawk St,41.907054808483444,-87.66724748907285,casual,3020,73.03926156135657
Dearborn St & Adams St,41.879210084613845,-87.62973629915079,casual,2991,73.21098747279284
Wabash Ave & 16th St,41.86038331630295,-87.6258127075703,casual,2951,73.3804168157044
Franklin St & Adams St (Temp),41.87928267763356,-87.63551072700342,casual,2920,73.54806631800929
Canal St & Jackson Blvd,41.87724765914718,-87.63941589861416,casual,2908,73.71502684975675
Elston Ave & Cortland St,41.91643262115597,-87.66673563569358,casual,2898,73.88141323937306
Clinton St & Roosevelt Rd,41.86712061516073,-87.64107334661774,casual,2862,74.04573271731711
Aberdeen St & Monroe St,41.88041171942777,-87.65556147390322,casual,2831,74.20827235465448
Racine Ave & Wrightwood Ave,41.92889497068905,-87.65898163071378,casual,2830,74.37075457777875
Western Ave & Walton St,41.898427905122126,-87.68659639112212,casual,2825,74.53294972983741
Damen Ave & Thomas St (Augusta Blvd),41.90133428335823,-87.67743493006759,casual,2811,74.69434108291244
Sangamon St & Washington Blvd,41.883074125363244,-87.65110833662393,casual,2808,74.8555601933481
California Ave & Cortez St,41.900370382671184,-87.69686648131241,casual,2804,75.0165496469313
Broadway & Argyle St,41.97377529189865,-87.65974122986081,casual,2802,75.17742427208826
Desplaines St & Jackson Blvd,41.8781080789853,-87.64404555969523,casual,2789,75.33755251247467
Ogden Ave & Race Ave,41.8917974687783,-87.65879879790154,casual,2783,75.49733626758238
Loomis St & Lexington St,41.87219682641081,-87.66147503944865,casual,2775,75.65666070898516
Delano Ct & Roosevelt Rd,41.86749819550667,-87.63221779596105,casual,2773,75.81587032196168
Sheridan Rd & Buena Ave,41.95844443111512,-87.655011174893545,casual,2771,75.97496510651199
Larrabee St & North Ave,41.910112022682576,-87.6435119243167,casual,2766,76.13377281999668
